Date,KODEX 200
2002.10.31,5366 
2002.11.29,5976 
2002.12.30,5288 
2003.1.30,4930 
2003.2.28,4833 
2003.3.31,4560 
2003.4.30,5107 
2003.5.30,5341 
2003.6.30,5696 
2003.7.31,6098 
2003.8.29,6499 
2003.9.30,5957 
2003.10.31,6801 
2003.11.28,6941 
2003.12.30,7155 
2004.1.30,7570 
2004.2.27,7898 
2004.3.31,7871 
2004.4.30,7618 
2004.5.31,7284 
2004.6.30,6924 
2004.7.30,6454 
2004.8.31,6971 
2004.9.30,7461 
2004.10.29,7407 
2004.11.30,7734 
2004.12.30,8007 
2005.1.31,8361 
2005.2.28,8954 
2005.3.31,8661 
2005.4.29,8148 
2005.5.31,8724 
2005.6.30,8966 
2005.7.29,9881 
2005.8.31,9666 
2005.9.30,10868 
2005.10.31,10283 
2005.11.30,11510 
2005.12.29,12550 
2006.1.31,12815 
2006.2.28,12599 
2006.3.31,12509 
2006.4.28,13044 
2006.5.30,12176 
2006.6.30,11880 
2006.7.31,12032 
2006.8.31,12544 
2006.9.29,12699 
2006.10.31,12636 
2006.11.30,13237 
2006.12.28,13382 
2007.1.31,12752 
2007.2.28,13326 
2007.3.30,13687 
2007.4.30,14429 
2007.5.31,15722 
2007.6.29,16125 
2007.7.31,17839 
2007.8.31,17442 
2007.9.28,18010 
2007.10.31,19077 
2007.11.30,17830 
2007.12.28,17859 
2008.1.31,15495 
2008.2.29,16159 
2008.3.31,16199 
2008.4.30,17421 
2008.5.30,17696 
2008.6.30,15952 
2008.7.31,15229 
2008.8.29,14123 
2008.9.30,13863 
2008.10.31,11175 
2008.11.28,10614 
2008.12.30,11026 
2009.1.30,11435 
2009.2.27,10395 
2009.3.31,11880 
2009.4.30,13299 
2009.5.29,13517 
2009.6.30,13547 
2009.7.31,15381 
2009.8.31,15697 
2009.9.30,16691 
2009.10.30,15727 
2009.11.30,15569 
2009.12.30,17004 
2010.1.29,16108 
2010.2.26,15953 
2010.3.31,17008 
2010.4.30,17514 
2010.5.31,16446 
2010.6.30,16946 
2010.7.30,17609 
2010.8.31,17449 
2010.9.30,18630 
2010.10.29,18776 
2010.11.30,19372 
2010.12.30,21070 
2011.1.31,21242 
2011.2.28,19969 
2011.3.31,21705 
2011.4.29,22632 
2011.5.31,22136 
2011.6.30,21508 
2011.7.29,21639 
2011.8.31,18898 
2011.9.30,17954 
2011.10.31,19577 
2011.11.30,18902 
2011.12.29,18809 
2012.1.31,20268 
2012.2.29,21022 
2012.3.30,20987 
2012.4.30,20873 
2012.5.31,19254 
2012.6.29,19325 
2012.7.31,19718 
2012.8.31,19718 
2012.9.28,20690 
2012.10.31,19738 
2012.11.30,20096 
2012.12.28,20926 
2013.1.31,20477 
2013.2.28,21279 
2013.3.29,20886 
2013.4.30,20278 
2013.5.31,20710 
2013.6.28,19153 
2013.7.31,19656 
2013.8.30,19894 
2013.9.30,20688 
2013.10.31,21184 
2013.11.29,21374 
2013.12.30,21152 
2014.1.29,20255 
2014.2.28,20616 
2014.3.31,20620 
2014.4.30,20429 
2014.5.30,20817 
2014.6.30,20817 
2014.7.31,21614 
2014.8.29,21206 
2014.9.30,20513 
2014.10.31,19996 
2014.11.28,20249 
2014.12.30,19756 
2015.1.30,20305 
2015.2.27,20353 
2015.3.31,20761 
2015.4.30,21596 
2015.5.29,21110 
2015.6.30,20385 
2015.7.31,19700 
2015.8.31,18772 
2015.9.30,19161 
2015.10.30,20324 
2015.11.30,19850 
2015.12.30,19732 
2016.1.29,19068 
2016.2.29,19396 
2016.3.31,20227 
2016.4.29,20181 
2016.5.31,20058 
2016.6.30,20140 
2016.7.29,20738 
2016.8.31,21127 
2016.9.30,21193 
2016.10.31,21081 
2016.11.30,20982 
2016.12.29,21738 
2017.1.31,22493 
2017.2.28,22596 
2017.3.31,23567 
2017.4.28,24130 
2017.5.31,25674 
2017.6.30,26296 
2017.7.31,26491 
2017.8.31,25944 
2017.9.29,26693 
2017.10.31,28129 
2017.11.30,27421 
2017.12.28,27628 
2018.1.31,28407 
2018.2.28,26709 
2018.3.30,26937 
2018.4.30,27617 
2018.5.31,26591 
2018.6.29,25689 
2018.7.31,25539 
2018.8.31,25672 
2018.9.28,25813 
2018.10.31,22682 
2018.11.30,23344 
2018.12.28,22846 
2019.1.31,24947 
2019.2.28,24758 
2019.3.29,24217 
2019.4.30,24897 
2019.5.31,23036 
2019.6.28,24307 
2019.7.31,23354 
2019.8.30,22658 
2019.9.30,24020 
2019.10.31,24282 
2019.11.29,24317 
2019.12.30,26143 
2020.1.31,25383 
2020.2.28,23910 
2020.3.31,21179 
2020.4.29,23084 
2020.5.29,23937 
2020.6.30,25095 
2020.7.31,26807 
2020.8.31,27537 
2020.9.29,27841 
2020.10.30,27038 
2020.11.30,31115 
2020.12.30,35435 
2021.1.29,36935 
